x,y,z
26,288,24
36,229,24
47,161,24
62,118,24
91,93,24
132,81,24
178,81,24
200,116,24
209,186,24
221,243,24
232,283,24
244,316,24
246,336,24
241,397,24
227,467,24
202,499,24
21,428,24
