,mean_intensity,window_length,x,y,z
brk,125.24347826086957,50.0,195.0,259.0,24.0
dpp,183.10954545454547,50.0,226.0,260.0,24.0
pMad,273.57813953488375,50.0,221.0,260.5,24.0
