x,y,z
52,303,10
62,242,10
75,179,10
105,113,10
133,88,10
177,81,10
211,84,10
249,94,10
261,132,10
258,207,10
239,264,10
231,316,10
228,379,10
225,509,10
225,587,10
50,577,10
