x,y,z
37,344,24
49,255,24
47,183,24
48,120,24
76,101,24
114,86,24
155,86,24
200,98,24
226,144,24
228,206,24
222,261,24
217,362,24
217,418,24
210,454,24
195,489,24
37,465,24
