x,y,z
227,678,24
177,653,24
123,634,24
86,613,24
29,578,24
13,557,24
3,526,24
5,451,24
21,444,24
64,430,24
113,423,24
153,421,24
214,428,24
239,440,24
416,490,24
377,712,24
